id;convoType;regularization;molhivAvg;molhivStd;molpcbaAvg;molpcbaStd;molesolAvg;molesolStd;molfreesolvAvg;molfreesolvStd;mollipoAvg;mollipoStd
0;gcn;None;0.5083025937155989;0.11641192171872213;0.10983686854933931;0.0028930877502453592;1.6711405118306477;0.19887097578353474;10.006080945332846;1.7054117454817035;0.6897849043210348;0.01832263150816916
1;gcn;DropOut;0.4661104566201227;0.028696140337641292;0.0562033082408739;0.0012412195711265508;3.97452974319458;0.3075463195526679;13.837417602539062;0.7701579171733222;1.1117237011591594;0.01041696637966427
2;gcn;NodeSampling;0.5070189330294779;0.031542778022677215;0.0716077916747048;0.0035063898242305323;2.9618141651153564;0.12339069555930084;12.53983465830485;0.5862677921164167;1.0604621569315593;0.017981383076759082
3;gcn;DropEdge;0.47764087113823495;0.09733684952353779;0.10097926912904062;0.0012805621759753253;1.9194305737813313;0.07215647308232034;8.788624286651611;1.0805618570009843;0.8205209374427795;0.050423353096686115
4;gcn;GDC;0.5373159646446114;0.03391349569770994;0.08230492534178818;0.00448761586321475;2.8818116982777915;0.1274286500038001;13.286069552103678;1.1930699910298785;1.0175445079803467;0.03261296214072008
5;gin;None;0.7003527813721134;0.014591876884719699;0.09787026647939548;0.024061988941216406;1.741489330927531;0.09642067557440198;8.361804644266764;0.7037573025306069;0.7458144028981527;0.049409834918264436
6;gin;DropOut;0.5003279965494377;0.02617867157651235;0.06739983668383692;0.002190061639232925;3.464224020640055;0.24322002996303077;20.320322672526043;1.1541379312820186;1.0982575019200642;0.019996819732768657
7;gin;NodeSampling;0.5491631098836722;0.039233520004906916;0.07517557101529582;0.0037696081171175954;3.0216355323791504;0.5862192239820097;13.100127220153809;1.7975119199098775;0.9374165932337443;0.041673505142526476
8;gin;DropEdge;0.5181833690621036;0.03600286720062501;0.10565766788956144;0.0004031163686425014;2.1606781482696533;0.21264229051551461;7.941832383473714;0.17004362660889172;0.7841644088427225;0.052014227318656965
9;gin;GDC;0.5199405164255779;0.033698361993397805;0.09001315364736202;0.0012495266694288333;2.537669817606608;0.20343789147708746;20.09562873840332;3.4992424954774863;1.0554877122243245;0.04465079215295978
